ean,name,brand,category,eu_countries,flag_nc,flag_cf,flag_fragrance_free,nc_basis,cf_basis,fragrance_basis,source_url,notes
5060503753426,Matte dreamer,,unspecified,ES,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5060503753426/matte-dreamer,
3574661680651,Savon à l'ancienne brut,,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3574661680651/savon-a-l-ancienne-brut,
0083800049004,7TH Heaven Superfood Pomegranate Peel-Off Mask,7th Heaven,face/skincare,NL,no,yes,no,,leaping-bunny,,https://world.openbeautyfacts.org/product/0083800049004/7th-heaven-superfood-pomegranate-peel-off-mask,OBF-Label crowd-sourced; Siegel vor Launch re-checken
4005900855848,Dark Forest Deodorant,8x4 Men,unspecified,DE,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/4005900855848/dark-forest-deodorant-8x4-men,
3282770202120,Protect Crème SPF50+,A-Derma,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3282770202120/protect-creme-spf50-a-derma,
6131645002297,Shampoing Psoriasis,Abusaad Cosmetiques,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/6131645002297/shampoing-psoriasis-abusaad-cosmetiques,Kategorie eher nicht Gesicht
7319861018585,Kids Active Sun Lotion SPF 50+,ACO,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7319861018585/kids-active-sun-lotion-spf-50-aco,
7319861018509,Sun face cream,ACO,face/skincare,NL|SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7319861018509/sun-face-cream-aco,
3700343040844,Déodorant baume,Acorelle,other-non-face,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3700343040844/deodorant-baume-acorelle,Kategorie eher nicht Gesicht
3770022721098,Savon solide L'agrume Visage - Aleyria Cosmétiques,Aleyria Cosmétiques,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721098/savon-solide-l-agrume-visage-aleyria-cosmetiques,
3770022721029,Savon solide Le Floral - Aleyria Cosmétiques,Aleyria Cosmétiques,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721029/savon-solide-le-floral-aleyria-cosmetiques,
3770022721036,Savon solide Le floral Visage - Aleyria Cosmétiques,Aleyria Cosmétiques,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721036/savon-solide-le-floral-visage-aleyria-cosmetiques,
3770022721043,Savon solide Le fraicheur - Aleyria Cosmétiques,Aleyria Cosmétiques,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721043/savon-solide-le-fraicheur-aleyria-cosmetiques,
3770022721050,Savon solide Le fraicheur Visage - Aleyria Cosmétiques,Aleyria Cosmétiques,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721050/savon-solide-le-fraicheur-visage-aleyria-cosmetiques,
3770022721005,Savon solide Le Naturel - Aleyria Cosmétiques,Aleyria Cosmétiques,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721005/savon-solide-le-naturel-aleyria-cosmetiques,
3770022721012,Savon solide Le Naturel Visage- Aleyria Cosmétiques,Aleyria Cosmétiques,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721012/savon-solide-le-naturel-visage-aleyria-cosmetiques,
3770022721067,Savon solide Le Provençal - Aleyria Cosmétiques,Aleyria Cosmétiques,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721067/savon-solide-le-provencal-aleyria-cosmetiques,
3770022721074,Savon solide Le Provençal Visage - Aleyria Cosmétiques,Aleyria Cosmétiques,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721074/savon-solide-le-provencal-visage-aleyria-cosmetiques,
3760075074227,Spray solaire bébé 100 % naturel* haute protection - 50 sensible,Alphanova Sun,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3760075074227/spray-solaire-bebe-100-naturel-haute-protection-50-sensible-alphanova-sun,
4260167182445,Classic - soin hydratant à l'huile de jojoba bio,Alviana,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4260167182445/classic-soin-hydratant-a-l-huile-de-jojoba-bio-alviana,
7313272135244,Solcreme ansikte SPF 30,apoteket,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7313272135244/solcreme-ansikte-spf-30-apoteket,
7313272150896,Solcreme ansikte SPF 50,apoteket,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7313272150896/solcreme-ansikte-spf-50-apoteket,
7313272153712,Solfluid ansikte,apoteket,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7313272153712/solfluid-ansikte-apoteket,
7313272135268,Sollotion högt skydd SPF 30,apoteket,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7313272135268/sollotion-hogt-skydd-spf-30-apoteket,
7313272139747,Sollotion SPF 30,apoteket,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7313272139747/sollotion-spf-30-apoteket,
7313272150940,Solspray SPF 30,apoteket,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7313272150940/solspray-spf-30-apoteket,
00000859,Base lavante,aroma-zone,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/00000859/base-lavante-neutre-douce-aroma-zone,
8436024790016,Gel aloe Vera puro,Atlantia,face/skincare,ES,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/8436024790016/gel-aloe-vera-puro-atlantia,
3282779316392,Réparateur après-soleil,Avene,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282779316392/reparateur-apres-soleil-avene,
3282770138801,Avène Tolérance CONTROL Creme,Avène,face/skincare,DE|AT|FR|EU,no,no,yes,,,claim,https://www.eau-thermale-avene.de/p/tolerance-control-creme-3282770138801-0c591b54,Claim: 'Ohne Duftstoffe'; INCI ohne Parfum/Fragrance auf Markenseite; kein NC-Claim gefunden → NC=no
3282779002738,Cold Cream - crème,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282779002738/cold-cream-creme-avene,
3282779059848,Eluage Crème anti-âge restructurant,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282779059848/eluage-creme-anti-age-restructurant-avene,
3282770073478,Soin lèvres sensibles,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282770073478/soin-levres-sensibles-avene,
3282770100402,Trixera,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282770100402/trixera-avene,
3282779363815,Très Haute Protection Spray 50+ SPF,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282779363815/tres-haute-protection-spray-50-spf-avene,
3282779405485,Xeracalm A.D. Baume relipidant,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282779405485/xeracalm-a-d-baume-relipidant-avene,
07581365,Ysthéal +,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/07581365/ystheal-avene,
3282770037005,Ysthéal Intense concentré antirides rénovateur de peau,Avène,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3282770037005/ystheal-intense-concentre-antirides-renovateur-de-peau-avene,
4010355322975,After Shave Balm ultra sensitive,Balea,other,DE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4010355322975/after-shave-balm-ultra-sensitive-balea,
4067796072402,ultra sensitive after shave balsam,balea,other,DE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4067796072402/ultra-sensitive-after-shave-balsam-balea,
20174026,Sensitive Lingettes Nettoyantes pour peaux sèches et sensibles,Beauty Iseree,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/20174026/sensitive-lingettes-nettoyantes-pour-peaux-seches-et-sensibles-beauty-iseree,
4005900261038,NIVEA SUN Protect & Sensitive Sun Lotion SPF 30,Beiersdorf,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4005900261038/nivea-sun-protect-sensitive-sun-lotion-spf-30-beiersdorf,
4005900127365,Protect & Sensitive 50,Beiersdorf,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4005900127365/protect-sensitive-50-beiersdorf,
8480010207170,Natural Crema de Manos,Belle,face/skincare,ES,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/8480010207170/natural-crema-de-manos-belle,
4260491220899,Pink Grapefruit,Ben&Anna,other-non-face,DE,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/4260491220899/pink-grapefruit-ben-anna,Kategorie eher nicht Gesicht
6414504296106,Suihkusaippua,Berner,face/skincare,FI,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/6414504296106/suihkusaippua-berner,
7898302722118,Cera Depilatória Bio Soft Natural de Mel,Bio Soft,hair,NL,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/7898302722118/cera-depilatoria-bio-soft-natural-de-mel,Kategorie eher nicht Gesicht
3515451118107,shampoing cheveux normaux,bio-secure,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3515451118107/shampoing-cheveux-normaux-bio-secure,
3329310002113,Masque visage purifiant Argile verte,Biocos,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3329310002113/masque-visage-purifiant-argile-verte-biocos,
3401573670053,Créaline TS H2O Solution micellaire,Bioderma,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3401573670053/crealine-ts-h2o-solution-micellaire-bioderma,
3401353688513,Photoderm Bronz SPF 50+,Bioderma,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3401353688513/photoderm-bronz-spf-50-bioderma,
3401353688742,Photoderm MAX SPF 50+ Spray très haute protection,Bioderma,other,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3401353688742/photoderm-max-spf-50-spray-tres-haute-protection-bioderma,
3286011092310,Crème change,Biolane,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3286011092310/creme-change-biolane,
3286010022011,Gel douche purifiant à l'extrait de criste marine bio des Charentes,Biopha,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3286010022011/gel-douche-purifiant-a-l-extrait-de-criste-marine-bio-des-charentes-biopha,
3286010022059,Shampooing purifiant à l'extrait de thym bio & de citron bio de Provence,Biopha,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3286010022059/shampooing-purifiant-a-l-extrait-de-thym-bio-de-citron-bio-de-provence-biopha,Kategorie eher nicht Gesicht
5017634247843,Anti-boutons,Bioré,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/5017634247843/anti-boutons-biore,
3517360012835,Savon détachant à l'huile d'olive bio,Biovie,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3517360012835/savon-detachant-a-l-huile-d-olive-bio-biovie,
3760207111660,(ohne Namen),Bloomup,unspecified,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760207111660/bloomup,
3265660399407,Lingettes intimes,Bocoton Bio,unspecified,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3265660399407/lingettes-intimes-bocoton-bio,
5028197417666,Canneberge givrée - gel douche,Body Shop,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5028197417666/canneberge-givree-gel-douche-body-shop,
5028197417574,Canneberge givrée - lotion scintillante,Body Shop,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5028197417574/canneberge-givree-lotion-scintillante-body-shop,
5028197417482,Canneberge givrée beurre corporel,Body Shop,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5028197417482/canneberge-givree-beurre-corporel-body-shop,
5028197417871,Canneberge givrée exfoliant au sucre,Body Shop,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5028197417871/canneberge-givree-exfoliant-au-sucre-body-shop,
3052503155104,Air mat la nouvelle matité indétectable - ivoire rosé,Bourjois,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3052503155104/air-mat-la-nouvelle-matite-indetectable-ivoire-rose-bourjois,
5397209496037,Instant glow,BRONZE,other,BE,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5397209496037/instant-glow-bronze,
5060896573755,Bull Dog Hautpflege Original After Shave Balsam + Aloe Vera,Bulldog,other,DE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/5060896573755/bull-dog-hautpflege-original-after-shave-balsam-aloe-vera-bulldog,
9313880201001,Loose powder 04 Medium to dark,Bys,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/9313880201001/loose-powder-04-medium-to-dark-bys,
3760099592066,Gel surgras Toilette intime,Cadum,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760099592066/soin-intime-cadum,
0810006942477,Cantu Guava Scalp Care Shampoo,Cantu,hair,NL,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/0810006942477/cantu-anti-dandruff-shampoo-with-guava-ginger,Kategorie eher nicht Gesicht
3700538600044,Pierre d'Alun,Cap Cosmetics,other-non-face,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3700538600044/pierre-d-alun-cap-cosmetics,Kategorie eher nicht Gesicht
3560071348069,Gel lavant 2 in 1,Carrefour,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3560071348069/gel-lavant-2-in-1-carrefour-bebe,
3560071275075,Lait de toilette,Carrefour,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3560071275075/lait-de-toilette-carrefour-baby-bio,
4250587754230,All Matt plus,Catrice cosmetics,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/4250587754230/all-matt-plus-catrice-cosmetics,
4250947527153,Better than water proof,Catrice cosmetics,makeup,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/4250947527153/better-than-water-proof-catrice-cosmetics,Kategorie eher nicht Gesicht
4045612000709,Frische Deo 24h Granatapfel,CD,other-non-face,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/4045612000709/frische-deo-24h-granatapfel-cd,Kategorie eher nicht Gesicht
3337875597449,CeraVe Hydraterende Gezichtscrème,CeraVe,face/skincare,NL,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3337875597449/facial-moisturising-lotion-cerave,
3337875597395,Hydraterende Melk,CeraVe,face/skincare,IE|NL,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3337875597395/moisturising-lotion-cerave,
3337875598996,moisturising cream,CeraVe,other,FR|RO,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3337875598996/moisturising-cream-cerave,
3770006053306,Mascara,Charlotte makeup,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770006053306/mascara-charlotte-makeup,
26028071,Lingettes bébé très douces sensitive,Chérubin,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/26028071/lingettes-bebe-tres-douces-sensitive-cherubin,
20231460,Crème solaire enfant FPS50+,Cien,face/skincare,ES|FR|NL,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/20231460/cien-sun,
20825430,Shampoo,Cien Sensitive,hair,FI,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/20825430/shampoo-all-hair-types-cien-sensitive,Kategorie eher nicht Gesicht
0309974700016,Fond de Teint - Peaux Mixtes / Grasses - Ivoire,Colorstay,makeup,FR|IT,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/0309974700016/fond-de-teint-peaux-mixtes-grasses-ivoire-colorstay,Kategorie eher nicht Gesicht
3329310012495,Pâte d'argile,Copar,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3329310012495/pate-d-argile-copar,
3257984523521,Les Soins Eau micellaire Peaux Sensibles,Cora,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3257984523521/les-soins-eau-micellaire-peaux-sensibles-cora,
3468080408159,Douche Soin Détox,Corine de Farme,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3468080408159/douche-soin-detox-corine-de-farme,
3538394612839,Shampooing douche ulta doux sans savon aux algues,Coslys,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3538394612839/shampooing-douche-ulta-doux-sans-savon-aux-algues-coslys,Kategorie eher nicht Gesicht
3489940049237,Shampooing Cheveux secs Karité - Jojoba - Aloe,Cosmo Naturel,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3489940049237/shampooing-cheveux-secs-karite-jojoba-aloe-cosmo-naturel,Kategorie eher nicht Gesicht
3489941049748,Shampooing Douche Miel Propolis,Cosmo Naturel,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3489941049748/shampooing-douche-miel-propolis-cosmo-naturel,Kategorie eher nicht Gesicht
3489940049251,Shampooing usage fréquent Miel - Calendula - Avoine,Cosmo Naturel,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3489940049251/shampooing-usage-frequent-miel-calendula-avoine-cosmo-naturel,Kategorie eher nicht Gesicht
0870223028675,Nettoyant Corporel Hydratant Huile de Macadamia,Daily Defense,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/0870223028675/nettoyant-corporel-hydratant-huile-de-macadamia-daily-defense,
3159870466212,Foam Clear Wash,Deb,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3159870466212/foam-clear-wash-deb,
8009518320510,Terre de soleil minérale,Deborah,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/8009518320510/terre-de-soleil-minerale-deborah,
3800038935988,Special Care Repair & Protect,Dental,other-non-face,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3800038935988/special-care-repair-protect-dental,Kategorie eher nicht Gesicht
7898567750758,Depi Roll Cera Roll-on ARGAN,Depi Roll,hair,NL,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/7898567750758/depi-roll-cera-roll-on-argan,Kategorie eher nicht Gesicht
7898567750291,Cera Quente Depiroll Mel,Depiroll,hair,NL,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/7898567750291/cera-quente-depiroll-mel,Kategorie eher nicht Gesicht
7898567750604,Cera Quente Profissional Rosa DepiRoll,DepiRoll,hair,NL,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/7898567750604/cera-quente-profissional-rosa-depiroll,Kategorie eher nicht Gesicht
3567730300437,Shampooing 2 en 1 démêlant Fraise Grenade Lait de coton,Dermaclay Junior,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3567730300437/shampooing-2-en-1-demelant-fraise-grenade-lait-de-coton-dermaclay-junior,Kategorie eher nicht Gesicht
3560070848898,SensilianeSun lait protecteur 50+,Dermato Science,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3560070848898/sensilianesun-lait-protecteur-50-dermato-science,
8032680391019,Shampoing Lissage Total,DERMOMed,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/8032680391019/shampoing-lissage-total-dermomed,Kategorie eher nicht Gesicht
8032680390722,Shampooing Douche Homme avec Taurine,DERMOMed,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/8032680390722/shampooing-douche-homme-avec-taurine-dermomed,Kategorie eher nicht Gesicht
0718334337432,Lotion à la noix de coco,Desert Essence,face/skincare,FR,no,yes,yes,,obf-label,obf-label,https://world.openbeautyfacts.org/product/0718334337432/desert-essence-coconut-hand-and-body-lotion,
3178040694149,Crème Anti-Rides Nuit Haute Tolérance,Diadermine,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3178040694149/creme-anti-rides-nuit-haute-tolerance-henkel,
3178040694156,Lotion micellaire démaquillante Haute Tolérance,Diadermine,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3178040694156/lotion-micellaire-demaquillante-haute-tolerance-henkel,
5028270004752,Baby wipes fragrance free,Dimple,other,FR,no,yes,yes,,obf-label,obf-label,https://world.openbeautyfacts.org/product/5028270004752/baby-wipes-fragrance-free-dimple,
8711700784245,Lait pour le corps Deep Care Complex,Dove,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/8711700784245/lait-pour-le-corps-deep-care-complex-unilever,
4020829005037,Crème de jour fluide,Dr. Hauschka,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4020829005037/creme-de-jour-fluide-dr-hauschka,
3282770037500,Keracnyl gel moussant visage et corps,Ducray,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282770037500/keracnyl-gel-moussant-visage-et-corps-ducray,
3287570131014,Huile de massage aux huiles essentielles,Durance,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3287570131014/huile-de-massage-aux-huiles-essentielles-durance,
09162008,Durex play massage douceur,Durex,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/09162008/durex-play-massage-douceur,
3282779178624,Trixéra+,Eau thermale Avène,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3282779178624/trixera-eau-thermale-avene,
3517360003314,Nutritive Gel nettoyant surgras,Eau thermale Jonzac,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3517360003314/nutritive-gel-nettoyant-surgras-eau-thermale-jonzac,
3517360025750,"Reactive CONTROL, Crème miraculeuse HAUTE TOLERANCE",EAU THERMALE JONZAC,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3517360025750/reactive-control-creme-miraculeuse-haute-tolerance-eau-thermale-jonzac,
3517360001419,REhydrate Lait corps réhydratant,Eau thermale Jonzac,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3517360001419/rehydrate-lait-corps-rehydratant-eau-thermale-jonzac,
4033981742054,Opalovací krém SPF 15 bio,Eco cosmetics,face/skincare,CZ,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/4033981742054/opalovaci-krem-spf-15-bio-eco-cosmetics,
3045204804181,Naturals,Ecran Sun,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3045204804181/naturals-ecran-sun,
3760207115118,Les Biolistas crème de douche hydratante Fleur de Pamplemousse,Energie Fruit,other,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760207115118/les-biolistas-creme-de-douche-hydratante-fleur-de-pamplemousse-energie-fruit,
7350113020048,All Glow‘d Up Vegan Sugar Scrub,Estrid,face/skincare,DE|FI|NL|SE,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/7350113020048/all-glow-d-up-vegan-sugar-scrub-estrid,
3614819997115,Détranspirant Tolérance,EtiaXil,other-non-face,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3614819997115/detranspirant-tolerance-etiaxil,Kategorie eher nicht Gesicht
4005800192883,Eucerin DermoPure Cleansing Gel,Eucerin,face/skincare,BE|DE|FR|NL,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/4005800192883/eucerin-dermopure-cleansing-gel,
5055170281013,metropolitan black pour homme,fine perfurmery,fragrance,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5055170281013/metropolitan-black-pour-homme-fine-perfurmery,Kategorie eher nicht Gesicht
8436008569799,(ohne Namen),Fleurymer,face/skincare,ES,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/8436008569799/fleurymer,
3516170022751,Crème mains de Provence Essence d'amande,Florame,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3516170022751/creme-mains-de-provence-essence-d-amande-florame,
8470001549990,Fotoprotector ISDIN Gel Cream 30 SPF,Fotoprotector ISDIN,face/skincare,ES,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/8470001549990/fotoprotector-isdin-gel-cream-30-spf,
3600542433266,Brightening serum,Garnier,face/skincare,IE,no,yes,no,,cfi,,https://world.openbeautyfacts.org/product/3600542433266/brightening-serum-garnier,OBF-Label crowd-sourced; Siegel vor Launch re-checken
3600541729476,Micellar Cleansing Water,Garnier,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3600541729476/micellar-cleansing-water-l-oreal,
3600541738508,Miracle Wake Up Crème Anti-Âge défatigant,Garnier,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3600541738508/miracle-wake-up-creme-anti-age-defatigant-l-oreal,
3600530171972,Dream Mat Mousse 48 Beige ensoleillé,Gemey,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3600530171972/dream-mat-mousse-48-beige-ensoleille-gemey,
3600530523641,Dream Satin Fluide Sable,Gemey Maybelline,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3600530523641/dream-satin-fluide-sable-gemey-maybelline,
0012009073930,GiGi All Purpose Honee Wax,GiGi,hair,NL,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/0012009073930/gigi-all-purpose-honee-wax,Kategorie eher nicht Gesicht
0743877052559,High Rise Hard Wax Men Wax,Gillette,hair,NL,yes,yes,no,obf-label,obf-label,,https://world.openbeautyfacts.org/product/0743877052559/high-rise-hard-wax-men-wax-gillette,Kategorie eher nicht Gesicht
3489940067064,Savon bio de beauté  Lavande et lait d'ânesse bio,Gravier,other,FR,no,yes,yes,,obf-label,obf-label,https://world.openbeautyfacts.org/product/3489940067064/savon-bio-de-beaute-lavande-et-lait-d-anesse-bio-gravier,
3489940067088,Savon de beauté sans parfum au beurre de karité bio lait d'ânesse bio,Gravier,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3489940067088/savon-de-beaute-sans-parfum-au-beurre-de-karite-bio-lait-d-anesse-bio-gravier,
8016744500104,Soin Colorant Permanent 10N Blond Platine,Herbatint,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/8016744500104/soin-colorant-permanent-10n-blond-platine-herbatint,Kategorie eher nicht Gesicht
3701154720093,Nettoyant Visage,Horace,unspecified,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3701154720093/nettoyant-visage-horace,
7318690017301,ICA Duschtvål oparfymerad,ICA,other,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7318690017301/ica-duschtval-oparfymerad,
